"","rent","size","lift","balcony","terrace","is_house","slope","highway","rail_stati","sun_eve","X","Y"
"2335",1363,60,0,0,0,0,0.022905,0,1.403,192.65,682680,243125
"2336",1277,69,1,1,0,0,0.040664,0,0.47,166.43,679680,246970
"2337",1300,55,0,0,0,0,0.111491,0,1.042,123.08,682731,240448
"2338",950,45,0,0,0,0,0.036419,0,0.687,182.3,698920,262797
"2339",1350,55,1,1,0,0,0.004501,0,0.939,219.18,682167,248258
"2340",849,64,0,1,0,0,0.006203,0,1.134,235.7,673728,250225
"2341",1340,100,1,1,0,0,0.005081,0,0.795,230.11,698428,249652
"2342",1550,57,0,1,0,0,0.029461,0,0.799,202.07,685064,238213
"2343",1800,64,0,1,0,0,0.020136,0,0.521,273.59,684410,246695
"2344",2600,94,1,0,0,0,0.062005,0,0.765,386.04,684590,246470
"2345",1470,84,0,0,0,0,0.038668,0,0.31,127.56,682755,244295
"2346",1870,75,1,0,0,0,0.045646,0,1.385,275.59,679899,250749
"2347",1500,90,0,1,0,0,0.054224,0,1.02,174.04,694163,230849
"2348",2890,100,0,1,0,0,0.059978,0,1.878,301,685185,248170
"2349",3478,150,1,1,0,0,0.013973,0,0.765,201,678940,248825
"2350",3100,200,0,0,0,1,0.143873,0,0.946,573.66,676344,245755
"2351",3350,150,0,0,0,0,0.145954,0,2.166,512.79,673519,253076
"2352",3900,168,0,0,0,0,0.043538,0,1.233,341.09,683500,249417
"2353",3100,180,1,0,0,0,0.033479,0,0.118,145.45,693482,231690
"2354",3500,178,0,1,0,1,0.035301,1,2.047,261.39,696250,264589
"2355",3417,160,1,1,0,0,0.021769,0,0.651,234.04,685248,238351
"2356",870,39,0,1,0,0,0.001435,0,0.643,228,696777,262543
"2357",608,30,0,0,0,0,0.061742,0,0.327,122.35,683021,264240
"2358",870,39,0,0,0,0,0.001435,0,0.643,228,696777,262543
"2359",946,28,0,0,0,0,0.00413,0,0.237,220,681716,247150
"2360",1045,50,0,0,0,0,0.014489,0,1.333,273.03,680473,267521
"2361",1025,53,0,0,0,0,0.015328,0,0.452,228.71,683745,251420
"2362",1300,81,0,0,0,0,0.077427,0,1.503,61.96,691856,232248
"2363",1550,85,0,0,0,0,0.031018,0,3.423,310.28,672942,237262
"2364",1370,62,0,0,0,0,0.010352,0,0.879,246.35,683675,253435
"2365",1541,75,0,0,0,0,0.024054,0,0.315,287.9,684706,253485
"2366",1575,107,0,0,0,0,0.033774,0,1.806,283.04,677336,256179
"2367",1490,90,0,0,0,0,0.056568,0,0.689,102.19,681623,269152
"2368",1450,89,0,0,0,0,0.017528,0,1.119,280.5,696183,246192
"2369",1650,118,0,0,0,0,0.058057,0,3.922,258.08,684140,260652
